"id","Protein","Pathway","Metabolism"
"K00462","Biphenyl-2,3-diol 1,2-dioxygenase","Chlorocyclohexane and chlorobenzene degradation","Xenobiotics biodegradation and metabolism"
"K00463","Indoleamine 2,3-dioxygenase","Tryptophan metabolism","Amino acid metabolism"
"K00466","Tryptophan 2-monooxygenase","Tryptophan metabolism","Amino acid metabolism"
"K00467","Lactate 2-monooxygenase","Pyruvate metabolism","Carbohydrate metabolism"
"K00468","Lysine 2-monooxygenase","Lysine degradation","Amino acid metabolism"
"K00469","Inositol oxygenase","Ascorbate and aldarate metabolism","Carbohydrate metabolism"
"K00472","Prolyl 4-hydroxylase","Arginine and proline metabolism","Amino acid metabolism"
"K00480","Salicylate hydroxylase","Dioxin degradation","Xenobiotics biodegradation and metabolism"
"K00481","P-hydroxybenzoate 3-monooxygenase","Benzoate degradation","Xenobiotics biodegradation and metabolism"
"K00483","4-hydroxyphenylacetate 3-monooxygenase","Tyrosine metabolism","Amino acid metabolism"
"K00484","Flavin reductase (NADH)","Tyrosine metabolism","Amino acid metabolism"
"K00486","Kynurenine 3-monooxygenase","Tryptophan metabolism","Amino acid metabolism"
"K00491","Nitric-oxide synthase, bacterial","Arginine biosynthesis","Amino acid metabolism"
"K00499","Choline monooxygenase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K00500","Phenylalanine-4-hydroxylase","Phenylalanine metabolism","Amino acid metabolism"
"K00502","Tryptophan 5-monooxygenase","Tryptophan metabolism","Amino acid metabolism"
"K00505","Tyrosinase","Tyrosine metabolism","Amino acid metabolism"
"K00507","Stearoyl-CoA desaturase (Delta-9 desaturase)","Biosynthesis of unsaturated fatty acids","Lipid metabolism"
"K00508","Linoleoyl-CoA desaturase","Linoleic acid metabolism","Lipid metabolism"
"K00511","Squalene monooxygenase","Steroid biosynthesis","Lipid metabolism"
"K00514","Zeta-carotene desaturase","Carotenoid biosynthesis","Metabolism of terpenoids and polyketides"
"K00515","Beta-carotene 15,15'-dioxygenase","Retinol metabolism","Metabolism of cofactors and vitamins"
"K00523","CDP-4-dehydro-6-deoxyglucose reductase, E3","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K00528","Ferredoxin/flavodoxin---NADP+ reductase","Enzymes with EC numbers","Unclassified: metabolism"
"K00529","3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component","Fatty acid degradation","Lipid metabolism"
"K00531","Nitrogenase delta subunit","Nitrogen metabolism","Energy metabolism"
"K00542","Guanidinoacetate N-methyltransferase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K00544","Betaine-homocysteine S-methyltransferase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K00545","Catechol O-methyltransferase","Steroid hormone biosynthesis","Lipid metabolism"
"K00547","Homocysteine S-methyltransferase","Cysteine and methionine metabolism","Amino acid metabolism"
"K00548","5-methyltetrahydrofolate--homocysteine methyltransferase","Cysteine and methionine metabolism","Amino acid metabolism"
"K00549","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase","Cysteine and methionine metabolism","Amino acid metabolism"
"K00553","Phenylethanolamine N-methyltransferase","Tyrosine metabolism","Amino acid metabolism"
"K00558","DNA (cytosine-5)-methyltransferase 1","Cysteine and methionine metabolism","Amino acid metabolism"
"K00559","Sterol 24-C-methyltransferase","Steroid biosynthesis","Lipid metabolism"
"K00562","Methyltransferase","Tryptophan metabolism","Amino acid metabolism"
"K00568","2-polyprenyl-6-hydroxyphenyl methylase / 3-demethylubiquinone-9 3-methyltransferase","Ubiquinone and other terpenoid-quinone biosynthesis","Metabolism of cofactors and vitamins"
"K00570","Phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase","Glycerophospholipid metabolism","Lipid metabolism"
"K00577","Tetrahydromethanopterin S-methyltransferase subunit A","Methane metabolism","Energy metabolism"
"K00578","Tetrahydromethanopterin S-methyltransferase subunit B","Methane metabolism","Energy metabolism"
"K00579","Tetrahydromethanopterin S-methyltransferase subunit C","Methane metabolism","Energy metabolism"
"K00580","Tetrahydromethanopterin S-methyltransferase subunit D","Methane metabolism","Energy metabolism"
"K00581","Tetrahydromethanopterin S-methyltransferase subunit E","Methane metabolism","Energy metabolism"
"K00582","Tetrahydromethanopterin S-methyltransferase subunit F","Methane metabolism","Energy metabolism"
"K00583","Tetrahydromethanopterin S-methyltransferase subunit G","Methane metabolism","Energy metabolism"
"K00584","Tetrahydromethanopterin S-methyltransferase subunit H","Methane metabolism","Energy metabolism"
"K00588","Caffeoyl-CoA O-methyltransferase","Phenylpropanoid biosynthesis","Biosynthesis of other secondary metabolites"
"K00594","Alditol oxidase","Pentose and glucuronate interconversions","Carbohydrate metabolism"
"K00595","Precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K00600","Glycine hydroxymethyltransferase","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K00601","Phosphoribosylglycinamide formyltransferase","Purine metabolism","Nucleotide metabolism"
"K00602","Phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase","Purine metabolism","Nucleotide metabolism"
"K00603","Glutamate formiminotransferase / 5-formyltetrahydrofolate cyclo-ligase","Histidine metabolism","Amino acid metabolism"
"K00605","Aminomethyltransferase","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K00606","3-methyl-2-oxobutanoate hydroxymethyltransferase","Pantothenate and CoA biosynthesis","Metabolism of cofactors and vitamins"
"K00608","Aspartate carbamoyltransferase","Pyrimidine metabolism","Nucleotide metabolism"
"K00609","Aspartate carbamoyltransferase catalytic subunit","Pyrimidine metabolism","Nucleotide metabolism"
"K00610","Aspartate carbamoyltransferase regulatory subunit","Pyrimidine metabolism","Nucleotide metabolism"
"K00611","Ornithine carbamoyltransferase","Arginine biosynthesis","Amino acid metabolism"
"K00613","Glycine amidinotransferase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K00615","Transketolase","Pentose phosphate pathway","Carbohydrate metabolism"
"K00616","Transaldolase","Pentose phosphate pathway","Carbohydrate metabolism"
"K00619","Amino-acid N-acetyltransferase","Arginine biosynthesis","Amino acid metabolism"
"K00620","Glutamate N-acetyltransferase / amino-acid N-acetyltransferase","Arginine biosynthesis","Amino acid metabolism"
"K00621","Glucosamine-phosphate N-acetyltransferase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K00622","Arylamine N-acetyltransferase","Caffeine metabolism","Biosynthesis of other secondary metabolites"
"K00625","Phosphate acetyltransferase","Pyruvate metabolism","Carbohydrate metabolism"
"K00626","Acetyl-CoA C-acetyltransferase","Pyruvate metabolism","Carbohydrate metabolism"
"K00627","Pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase)","Glycolysis / Gluconeogenesis","Carbohydrate metabolism"
"K00630","Glycerol-3-phosphate O-acyltransferase","Glycerolipid metabolism","Lipid metabolism"
"K00631","Glycerol-3-phosphate O-acyltransferase","Glycerolipid metabolism","Lipid metabolism"
"K00632","Acetyl-CoA acyltransferase","Fatty acid degradation","Lipid metabolism"
"K00634","Phosphate butyryltransferase","Butanoate metabolism","Carbohydrate metabolism"
"K00635","Diacylglycerol O-acyltransferase / wax synthase","Glycerolipid metabolism","Lipid metabolism"
"K00639","Glycine C-acetyltransferase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K00640","Serine O-acetyltransferase","Sulfur metabolism","Energy metabolism"
"K00641","Homoserine O-acetyltransferase/O-succinyltransferase","Sulfur metabolism","Energy metabolism"
"K00643","5-aminolevulinate synthase","Glycine, serine and threonine metabolism","Amino acid metabolism"
"K00645","[acyl-carrier-protein] S-malonyltransferase","Fatty acid biosynthesis","Lipid metabolism"
"K00647","3-oxoacyl-[acyl-carrier-protein] synthase I","Fatty acid biosynthesis","Lipid metabolism"
"K00648","3-oxoacyl-[acyl-carrier-protein] synthase III","Fatty acid biosynthesis","Lipid metabolism"
"K00651","Homoserine O-succinyltransferase/O-acetyltransferase","Sulfur metabolism","Energy metabolism"
"K00652","8-amino-7-oxononanoate synthase","Biotin metabolism","Metabolism of cofactors and vitamins"
"K00654","Serine palmitoyltransferase","Sphingolipid metabolism","Lipid metabolism"
"K00655","1-acyl-sn-glycerol-3-phosphate acyltransferase","Glycerolipid metabolism","Lipid metabolism"
"K00656","Formate C-acetyltransferase","Pyruvate metabolism","Carbohydrate metabolism"
"K00657","Diamine N-acetyltransferase","Arginine and proline metabolism","Amino acid metabolism"
"K00658","2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)","Citrate cycle (TCA cycle)","Carbohydrate metabolism"
"K00672","Formylmethanofuran--tetrahydromethanopterin N-formyltransferase","Methane metabolism","Energy metabolism"
"K00673","Arginine N-succinyltransferase","Arginine and proline metabolism","Amino acid metabolism"
"K00674","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase","Lysine biosynthesis","Amino acid metabolism"
"K00677","UDP-N-acetylglucosamine acyltransferase","Lipopolysaccharide biosynthesis","Glycan biosynthesis and metabolism"
"K00681","Gamma-glutamyltranspeptidase / glutathione hydrolase","Taurine and hypotaurine metabolism","Metabolism of other amino acids"
"K00687","Penicillin-binding protein 2B","Peptidoglycan biosynthesis","Glycan biosynthesis and metabolism"
"K00688","Glycogen phosphorylase","Starch and sucrose metabolism","Carbohydrate metabolism"
"K00689","Dextransucrase","Starch and sucrose metabolism","Carbohydrate metabolism"
"K00690","Sucrose phosphorylase","Starch and sucrose metabolism","Carbohydrate metabolism"
"K00691","Maltose phosphorylase","Starch and sucrose metabolism","Carbohydrate metabolism"
"K00692","Levansucrase","Starch and sucrose metabolism","Carbohydrate metabolism"
"K00693","Glycogen synthase","Starch and sucrose metabolism","Carbohydrate metabolism"
"K00694","Cellulose synthase (UDP-forming)","Starch and sucrose metabolism","Carbohydrate metabolism"
"K00695","Sucrose synthase","Starch and sucrose metabolism","Carbohydrate metabolism"
"K00696","Sucrose-phosphate synthase","Starch and sucrose metabolism","Carbohydrate metabolism"
"K00697","Trehalose 6-phosphate synthase","Starch and sucrose metabolism","Carbohydrate metabolism"
"K00698","Chitin synthase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K00700","1,4-alpha-glucan branching enzyme","Starch and sucrose metabolism","Carbohydrate metabolism"
"K00701","Cyclomaltodextrin glucanotransferase","Starch and sucrose metabolism","Carbohydrate metabolism"
"K00702","Cellobiose phosphorylase","Starch and sucrose metabolism","Carbohydrate metabolism"
"K00703","Starch synthase","Starch and sucrose metabolism","Carbohydrate metabolism"
"K00705","4-alpha-glucanotransferase","Starch and sucrose metabolism","Carbohydrate metabolism"
"K00709","Histo-blood group ABO system transferase","Glycosphingolipid biosynthesis - lacto and neolacto series","Glycan biosynthesis and metabolism"
"K00720","Ceramide glucosyltransferase","Sphingolipid metabolism","Lipid metabolism"
"K00721","Dolichol-phosphate mannosyltransferase","N-Glycan biosynthesis","Glycan biosynthesis and metabolism"
"K00728","Dolichyl-phosphate-mannose-protein mannosyltransferase","Mannose type O-glycan biosynthesis","Glycan biosynthesis and metabolism"
"K00737","Beta-1,4-mannosyl-glycoprotein beta-1,4-N-acetylglucosaminyltransferase","N-Glycan biosynthesis","Glycan biosynthesis and metabolism"
"K00748","Lipid-A-disaccharide synthase","Lipopolysaccharide biosynthesis","Glycan biosynthesis and metabolism"
"K00750","Glycogenin","Starch and sucrose metabolism","Carbohydrate metabolism"
"K00763","Nicotinate phosphoribosyltransferase","Nicotinate and nicotinamide metabolism","Metabolism of cofactors and vitamins"
"K00764","Amidophosphoribosyltransferase","Purine metabolism","Nucleotide metabolism"
"K00765","ATP phosphoribosyltransferase","Histidine metabolism","Amino acid metabolism"
"K00766","Anthranilate phosphoribosyltransferase","Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid metabolism"
"K00767","Nicotinate-nucleotide pyrophosphorylase (carboxylating)","Nicotinate and nicotinamide metabolism","Metabolism of cofactors and vitamins"
"K00768","Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K00771","Protein xylosyltransferase","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","Glycan biosynthesis and metabolism"
"K00772","5'-methylthioadenosine phosphorylase","Cysteine and methionine metabolism","Amino acid metabolism"
"K00788","Thiamine-phosphate pyrophosphorylase","Thiamine metabolism","Metabolism of cofactors and vitamins"
"K00789","S-adenosylmethionine synthetase","Cysteine and methionine metabolism","Amino acid metabolism"
"K00790","UDP-N-acetylglucosamine 1-carboxyvinyltransferase","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K00791","TRNA dimethylallyltransferase","Zeatin biosynthesis","Metabolism of terpenoids and polyketides"
"K00793","Riboflavin synthase","Riboflavin metabolism","Metabolism of cofactors and vitamins"
"K00794","6,7-dimethyl-8-ribityllumazine synthase","Riboflavin metabolism","Metabolism of cofactors and vitamins"
"K00795","Farnesyl diphosphate synthase","Terpenoid backbone biosynthesis","Metabolism of terpenoids and polyketides"
"K00796","Dihydropteroate synthase","Folate biosynthesis","Metabolism of cofactors and vitamins"
"K00797","Spermidine synthase","Cysteine and methionine metabolism","Amino acid metabolism"
"K00798","Cob(I)alamin adenosyltransferase","Porphyrin and chlorophyll metabolism","Metabolism of cofactors and vitamins"
"K00799","Glutathione S-transferase","Glutathione metabolism","Metabolism of other amino acids"
"K00800","3-phosphoshikimate 1-carboxyvinyltransferase","Phenylalanine, tyrosine and tryptophan biosynthesis","Amino acid metabolism"
"K00801","Farnesyl-diphosphate farnesyltransferase","Steroid biosynthesis","Lipid metabolism"
"K00802","Spermine synthase","Cysteine and methionine metabolism","Amino acid metabolism"
"K00803","Alkyldihydroxyacetonephosphate synthase","Ether lipid metabolism","Lipid metabolism"
"K00812","Aspartate aminotransferase","Alanine, aspartate and glutamate metabolism","Amino acid metabolism"
"K00813","Aspartate aminotransferase","Alanine, aspartate and glutamate metabolism","Amino acid metabolism"
"K00814","Alanine transaminase","Carbon fixation in photosynthetic organisms","Energy metabolism"
"K00817","Histidinol-phosphate aminotransferase","Histidine metabolism","Amino acid metabolism"
"K00819","Ornithine--oxo-acid transaminase","Arginine and proline metabolism","Amino acid metabolism"
"K00820","Glutamine---fructose-6-phosphate transaminase (isomerizing)","Amino sugar and nucleotide sugar metabolism","Carbohydrate metabolism"
"K00821","Acetylornithine/N-succinyldiaminopimelate aminotransferase","Lysine biosynthesis","Amino acid metabolism"
"K00822","Beta-alanine--pyruvate transaminase","Propanoate metabolism","Carbohydrate metabolism"
"K00823","4-aminobutyrate aminotransferase","Propanoate metabolism","Carbohydrate metabolism"
"K00824","D-alanine transaminase","Lysine degradation","Amino acid metabolism"
"K00826","Branched-chain amino acid aminotransferase","Cysteine and methionine metabolism","Amino acid metabolism"
"K00830","Alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase","Glyoxylate and dicarboxylate metabolism","Carbohydrate metabolism"
"K00831","Phosphoserine aminotransferase","Methane metabolism","Energy metabolism"
"K00832","Aromatic-amino-acid transaminase","Cysteine and methionine metabolism","Amino acid metabolism"
